name;number;longitude;latitude;address;id;distrito;cod_postal
Colón A;106a;-3.6877227;40.4251002;Calle Serrano nº 34;111;04  SALAMANCA;28001
Colón B;106b;-3.6877450;40.4249630;Calle Serrano nº 34;112;04  SALAMANCA;28001
Columela;107;-3.6884369;40.4215246;Calle Serrano nº 6;113;04  SALAMANCA;28009
Mártires Concepcionistas;108;-3.6706024;40.4273005;Calle Mártires Concepcionistas nº 2;114;04  SALAMANCA;28006
Marqués de Salamanca;109;-3.6816402;40.4300481;Calle José Ortega y Gasset nº 30;115;04  SALAMANCA;28006
Moncloa;110;-3.7206893;40.4344969;Paseo de Moret nº 2;116;09  MONCLOA;28008
Arcipreste de Hita A;111a;-3.7175435;40.4337322;Calle Arcipreste de Hita nº 12;117;07  CHAMBERÍ;28015
Arcipreste de Hita B;111b;-3.7175115;40.4337036;Calle Arcipreste de Hita nº 12;118;07  CHAMBERÍ;28015
Paseo de Moret;112;-3.7246532;40.4325991;Paseo de Moret nº 11;119;09  MONCLOA;28008
Pintor Rosales;113;-3.7205129;40.4276570;Paseo del Pintor Rosales nº 38;120;09  MONCLOA;28008
Quintana;114;-3.7174158;40.4277456;Calle Quintana nº 11-13;121;09  MONCLOA;28008
Ferraz;115;-3.7170448;40.4253944;Calle Evaristo San Miguel nº 2;122;09  MONCLOA;28008
Plaza de España A;116a;-3.7116030;40.4240200;Plaza de España;123;09  MONCLOA;28008
Plaza de España B;116b;-3.7117030;40.4241200;Plaza de España;124;09  MONCLOA;28008
Altamirano;117;-3.7188898;40.4309797;Calle Altamirano nº 24;125;09  MONCLOA;28008
Juan Martín;118;-3.6882407;40.4007810;Calle Juan Martín el Empecinado nº 14;126;02  ARGANZUELA;28045
Méndez Álvaro;119;-3.6863218;40.4013216;Calle Méndez Álvaro nº 11;127;02  ARGANZUELA;28045
Palos de la Frontera;120;-3.6944768;40.4032208;Calle Palos de la Frontera nº 40;128;02  ARGANZUELA;28045
Santa María de la Cabeza;121;-3.6987665;40.4017926;Paseo de Santa María de la Cabeza nº 58;129;02  ARGANZUELA;28045
Santa Engracia 14;122;-3.6963983;40.4295863;Calle Santa Engracia nº 14;130;07  CHAMBERÍ;28010
Guzmán el Bueno;123;-3.7133412;40.4306458;Calle Guzmán el Bueno nº 2;131;07  CHAMBERÍ;28015
Manuel Silvela;124;-3.6993465;40.4309524;Calle Manuel Silvela nº 20;169;07  CHAMBERÍ;28010
